epoch,accuracy,loss,val_accuracy,val_loss
0,0.5068423748016357,1.0080034732818604,0.42596811056137085,1.4218778610229492
1,0.6256968975067139,0.8533468842506409,0.553530752658844,1.0747718811035156
2,0.6705524325370789,0.7654029130935669,0.5785877108573914,1.0489144325256348
3,0.7032437920570374,0.6967337727546692,0.6127562522888184,0.9638025164604187
4,0.7301064133644104,0.6516526937484741,0.6697039008140564,0.8850170373916626
5,0.7417638301849365,0.609369158744812,0.6902050375938416,0.8348786234855652
6,0.7600101232528687,0.5672951936721802,0.7015945315361023,0.8349650502204895
7,0.7726811766624451,0.5357428193092346,0.7380409836769104,0.7279332280158997
8,0.8010643720626831,0.49267154932022095,0.7425968050956726,0.6837629079818726
9,0.8129751682281494,0.4588066041469574,0.7562642097473145,0.7062705755233765
10,0.8365433216094971,0.4195989966392517,0.7403188943862915,0.7542579770088196
11,0.8436391353607178,0.40013691782951355,0.7471526265144348,0.7148298621177673
12,0.8499746322631836,0.374678373336792,0.7881549000740051,0.6072144508361816
13,0.854282796382904,0.3686996102333069,0.785876989364624,0.6240835189819336
14,0.8672072887420654,0.33804765343666077,0.7790432572364807,0.5971500873565674
15,0.8712620139122009,0.32122164964675903,0.7653758525848389,0.7290382385253906
16,0.8872275948524475,0.2919667661190033,0.7699316740036011,0.642099916934967
17,0.8905220627784729,0.2836374044418335,0.7995443940162659,0.6406521201133728
18,0.8981246948242188,0.263369619846344,0.76765376329422,0.6993701457977295
19,0.9075012803077698,0.24049721658229828,0.7653758525848389,0.68705153465271
20,0.9105423092842102,0.23880936205387115,0.785876989364624,0.6776212453842163
21,0.9176381230354309,0.22658860683441162,0.7608200311660767,0.6755953431129456
22,0.90775465965271,0.2418191134929657,0.801822304725647,0.5892889499664307
23,0.9232133626937866,0.19997361302375793,0.785876989364624,0.6715965867042542
24,0.9290420413017273,0.19924411177635193,0.8041002154350281,0.6040117144584656
25,0.9328433871269226,0.17787538468837738,0.8132118582725525,0.6399089694023132
