epoch,accuracy,loss,val_accuracy,val_loss
0,0.5065889358520508,1.0080779790878296,0.42369019985198975,1.4127267599105835
1,0.6249366402626038,0.8526357412338257,0.5466970205307007,1.088112235069275
2,0.6702990531921387,0.7654040455818176,0.5854213833808899,1.0656017065048218
3,0.7029903531074524,0.6954246163368225,0.6013667583465576,0.9764889478683472
4,0.7303598523139954,0.6508524417877197,0.6697039008140564,0.899896502494812
5,0.7387227416038513,0.6098316311836243,0.6810933947563171,0.8498138189315796
6,0.7620375156402588,0.5661778450012207,0.678815484046936,0.8584790229797363
7,0.773188054561615,0.5367787480354309,0.7266514897346497,0.7474234700202942
8,0.8035985827445984,0.49384886026382446,0.7403188943862915,0.6975565552711487
9,0.8114546537399292,0.4631838798522949,0.7380409836769104,0.695473313331604
10,0.8393309712409973,0.421577125787735,0.7471526265144348,0.7348679304122925
11,0.8360365033149719,0.40559878945350647,0.7471526265144348,0.6962030529975891
12,0.8479472994804382,0.37665942311286926,0.7722095847129822,0.5953578352928162
13,0.8555499315261841,0.36537179350852966,0.7790432572364807,0.621370255947113
14,0.8692346811294556,0.3384929895401001,0.7927107214927673,0.5749906897544861
15,0.8710086345672607,0.318846732378006,0.7630979418754578,0.6895440816879272
16,0.8874809741973877,0.2920435965061188,0.76765376329422,0.638828694820404
17,0.8897618055343628,0.28483355045318604,0.7835990786552429,0.6532546877861023
18,0.8953370451927185,0.26131245493888855,0.76765376329422,0.7033371925354004
19,0.9105423092842102,0.2405451536178589,0.7835990786552429,0.6724109649658203
20,0.90775465965271,0.24142621457576752,0.8041002154350281,0.6609443426132202
21,0.9143436551094055,0.22417515516281128,0.7767653465270996,0.6597157716751099
22,0.9128231406211853,0.2347031831741333,0.7972665429115295,0.6087604761123657
23,0.9242270588874817,0.20366911590099335,0.7881549000740051,0.6512094140052795
24,0.9315762519836426,0.1983565241098404,0.8063781261444092,0.6247320771217346
